Word,Definition
ananas,pineapple
appelsiini,orange
aprikoosi,apricot
avokado,avocado
banaani,banana
verkkomeloni,cantaloupe
granaattiomena,pomegranate
greippi,grapefruit
hunajameloni,honeydew
kiivi,kiwi
klementiini,clementine
kookospähkinä,coconut
kumkvatti,kumquat
limetti,lime
litsi,litchi
luumu,plum
mandariini,tangerine
mango,mango
meloni,melon
nektariini,nectarine
omena,apple
papaija,papaya
persikka,peach
päärynä,pear
satsuma,satsuma
sitruuna,lemon
taateli,date
vesimeloni,watermelon
viikuna,fig
viinirypäle,grape
vaaleat (vihreät) viinirypäleet,white (green) grapes
tummat viinirypäle,dark grapes
eksoottinen,exotic
halkaista omena,to split an apple
haukata omenaa,to bite into an apple
hapan,sour
hedelmäliha,fruit flesh; pulp
hedelmämehu,fruit juice
hedelmäpirtelö,fruit smoothie
hedelmäpuristin,"fruit press, squeezer"
hedelmäsalaatti,fruit salad
hedelmäveitsi,fruit knife
hillo,jam
kirpeä,tart
kivetön kirsikka,pitted cherry
kuori,"peel, shell"
kuoria omena,to peel an apple
kuivattu,dried
kypsä,ripe
lohko,"section, slice"
makea,sweet
marmeladi,marmelade
mehukas,juicy
mädätä,"to rot, decay"
mätä,rotten
omenapuu,apple tree
omenasose,applesauce
persikan kivi,peach stone
raaka,raw
siemen,seed
siemenetön,seedless
siemenkota,core (of apple)
sitrushedelmä,citrus fruit
terttu,bunch
terveellinen,healthy
tuore,fresh
viipale,slice
Syön paljon hedelmiä.,I eat a lot of fruit.
Syön usein melonia.,I often eat melon.
Pidän viinirypäleistä.,I like grapes.
Tykkään vesimelonista.,I like watermelon.
En tykkää mangosta.,I don’t like mango.
Ostan viisi omenaa.,I buy five apples.
Ostin kolme päärynää.,I bought three pears.
Avokadot ovat kalliita.,Avocados are expensive.
Banaanit ovat tarjouksessa.,The bananas are on sale.
Haluatko omenan?,Do you want an apple?
Banaani on keltainen.,A banana is yellow.
Minä kuorin omenan.,I will peel the apple.
